0.50 0.32260670E+02
0.51 0.25906149E+02
0.52 0.20478628E+02
0.53 0.15824632E+02
0.54 0.11900293E+02
0.55 0.85414660E+01
0.56 0.57647822E+01
0.57 0.33276104E+01
0.58 0.13022280E+01
0.59 -.34370368E+00
0.60 -.17938052E+01
0.61 -.29541360E+01
0.62 -.39520128E+01
0.63 -.47889715E+01
0.64 -.54356013E+01
0.65 -.59630403E+01
0.66 -.63607653E+01
0.67 -.67196967E+01
0.68 -.69550573E+01
0.69 -.71123857E+01
0.70 -.72358539E+01
0.71 -.73023119E+01
0.72 -.73432724E+01
0.73 -.72969444E+01
0.74 -.72844384E+01
0.75 -.71883710E+01
0.76 -.70923482E+01
0.77 -.69953864E+01
0.78 -.68493654E+01
0.79 -.67189653E+01
0.80 -.65933842E+01
0.81 -.64458177E+01
0.82 -.62906080E+01
0.83 -.61346469E+01
0.84 -.59713087E+01
0.85 -.58217507E+01
0.86 -.56442843E+01
0.87 -.54981642E+01
0.88 -.53375257E+01
0.89 -.51728438E+01
0.90 -.50240102E+01
0.91 -.48518242E+01
0.92 -.46848218E+01
0.93 -.45386066E+01
0.94 -.44022699E+01
0.95 -.42510182E+01
0.96 -.40909808E+01
0.97 -.39531134E+01
0.98 -.38266548E+01
0.99 -.36926216E+01
1.00 -.35666955E+01
