0.50 -.89447177E+00
0.51 -.14970912E+01
0.52 -.19695793E+01
0.53 -.23626050E+01
0.54 -.26396694E+01
0.55 -.28877762E+01
0.56 -.30254558E+01
0.57 -.31651281E+01
0.58 -.32470124E+01
0.59 -.32652584E+01
0.60 -.32949612E+01
0.61 -.32765409E+01
0.62 -.32551600E+01
0.63 -.32253258E+01
0.64 -.31668158E+01
0.65 -.31094629E+01
0.66 -.30275507E+01
0.67 -.29677259E+01
0.68 -.28867713E+01
0.69 -.27958921E+01
0.70 -.27122161E+01
0.71 -.26244114E+01
0.72 -.25449305E+01
0.73 -.24418157E+01
0.74 -.23681189E+01
0.75 -.22716470E+01
0.76 -.21871900E+01
0.77 -.21135150E+01
0.78 -.20248495E+01
0.79 -.19528824E+01
0.80 -.18878249E+01
0.81 -.18163076E+01
0.82 -.17469899E+01
0.83 -.16808493E+01
0.84 -.16142010E+01
0.85 -.15582262E+01
0.86 -.14902311E+01
0.87 -.14391074E+01
0.88 -.13827015E+01
0.89 -.13264420E+01
0.90 -.12788596E+01
0.91 -.12192649E+01
0.92 -.11641165E+01
0.93 -.11196092E+01
0.94 -.10807421E+01
0.95 -.10345826E+01
0.96 -.98429502E+00
0.97 -.94492456E+00
0.98 -.91093268E+00
0.99 -.87338513E+00
1.00 -.83923177E+00
