0.700 0.13770577E+02
0.726 0.40729892E+01
0.752 -.27247969E+01
0.778 -.74766109E+01
0.804 -.10645827E+02
0.830 -.12668342E+02
0.856 -.13886947E+02
0.882 -.14586248E+02
0.908 -.14776966E+02
0.934 -.14597165E+02
0.960 -.14268969E+02
0.986 -.13799022E+02
1.012 -.13230419E+02
1.038 -.12552860E+02
1.064 -.11849948E+02
1.090 -.11175444E+02
1.116 -.10513906E+02
1.142 -.98608866E+01
1.168 -.91857286E+01
1.194 -.85680562E+01
1.220 -.79625085E+01
1.246 -.74258240E+01
1.272 -.69053770E+01
1.298 -.63684760E+01
1.324 -.58913719E+01
1.350 -.54576731E+01
1.376 -.50653384E+01
1.402 -.46760140E+01
1.428 -.43290004E+01
1.454 -.40053249E+01
1.480 -.37144254E+01
1.506 -.34499294E+01
1.532 -.31388304E+01
1.558 -.28962627E+01
1.584 -.26559557E+01
1.610 -.24730524E+01
1.636 -.22828804E+01
1.662 -.21137928E+01
1.688 -.19500844E+01
1.714 -.18157651E+01
1.740 -.16833508E+01
1.766 -.15761050E+01
1.792 -.14110502E+01
1.818 -.13107769E+01
1.844 -.12197692E+01
1.870 -.11383537E+01
1.896 -.10737746E+01
1.922 -.94791008E+00
1.948 -.88085278E+00
1.974 -.83061814E+00
2.000 -.78155747E+00
